time,T1,Tref,Q1
407,48.194,40.0,1.5818387269973755
408,48.162,40.0,1.534491777420044
409,48.033,40.0,1.4979153871536255
410,48.001,40.0,1.4503061771392822
411,47.969,40.0,1.40455961227417
412,47.969,40.0,1.3902902603149414
413,47.84,40.0,1.405775547027588
414,47.872,40.0,1.3917118310928345
415,47.808,40.0,1.3945996761322021
416,47.743,40.0,1.4019936323165894
417,47.646,40.0,1.4065086841583252
418,47.711,40.0,1.3905912637710571
419,47.55,40.0,1.4166712760925293
420,47.453,40.0,1.4231503009796143
421,47.324,40.0,1.4362543821334839
422,47.356,40.0,1.4249414205551147
423,47.292,40.0,1.4309287071228027
424,47.356,40.0,1.4187723398208618
425,47.163,40.0,1.4480680227279663
426,47.066,40.0,1.452571153640747
427,46.938,40.0,1.4642596244812012
428,46.938,40.0,1.45491361618042
429,46.841,40.0,1.467779278755188
430,46.776,40.0,1.4696449041366577
431,46.744,40.0,1.4688998460769653
432,46.68,40.0,1.4752060174942017
433,46.583,40.0,1.4839917421340942
434,46.551,40.0,1.4810562133789062
435,46.486,40.0,1.487487554550171
436,46.39,40.0,1.496395468711853
437,46.422,40.0,1.4842629432678223
438,46.357,40.0,1.4953911304473877
439,46.325,40.0,1.4947682619094849
440,46.1,40.0,1.5250623226165771
441,46.132,40.0,1.5299677848815918
442,46.003,40.0,1.5915274620056152
443,45.971,40.0,1.6257673501968384
444,45.874,40.0,1.6830205917358398
445,45.745,40.0,1.7767518758773804
446,45.777,40.0,1.788279414176941
447,45.81,40.0,1.764175295829773
448,45.681,40.0,1.8433243036270142
449,45.584,40.0,1.941072940826416
450,45.455,40.0,2.053567886352539
451,45.391,40.0,2.13027286529541
452,45.391,40.0,2.14984130859375
453,45.358,40.0,2.1769702434539795
454,45.326,40.0,2.2120416164398193
455,45.358,40.0,2.2015631198883057
456,45.101,40.0,2.382758140563965
457,45.068,40.0,2.4818599224090576
458,45.133,40.0,2.4466335773468018
459,45.036,40.0,2.5104761123657227
460,44.972,40.0,2.5921850204467773
461,44.746,40.0,2.8067588806152344
462,44.746,40.0,2.8874576091766357
463,44.746,40.0,2.8938798904418945
464,44.778,40.0,2.869007110595703
465,44.553,40.0,3.195145606994629
466,44.553,40.0,3.287604331970215
467,44.456,40.0,3.49569034576416
468,44.456,40.0,3.5424442291259766
469,44.585,40.0,3.2686800956726074
470,44.424,40.0,3.563669204711914
471,44.327,40.0,3.601834297180176
472,44.134,40.0,3.569802761077881
473,44.102,40.0,3.3574044704437256
474,44.134,40.0,3.3259363174438477
475,44.037,40.0,3.2732396125793457
476,43.94,40.0,3.1144559383392334
477,43.812,40.0,2.936500310897827
478,43.779,40.0,2.7972638607025146
479,43.747,40.0,2.748119831085205
480,43.715,40.0,2.700796604156494
481,43.618,40.0,2.6196062564849854
482,43.65,40.0,2.575463056564331
483,43.586,40.0,2.5575428009033203
484,43.457,40.0,2.4426937103271484
485,43.425,40.0,2.336341142654419
486,43.393,40.0,2.2918076515197754
487,43.231,40.0,2.2182135581970215
488,43.199,40.0,2.192974090576172
489,43.135,40.0,2.1775693893432617
490,43.135,40.0,2.1752893924713135
491,43.103,40.0,2.1687655448913574
492,42.974,40.0,2.1570205688476562
493,42.941,40.0,2.189990997314453
494,42.845,40.0,2.213996648788452
495,42.813,40.0,2.2390127182006836
496,42.78,40.0,2.2486538887023926
497,42.813,40.0,2.246600389480591
498,42.716,40.0,2.252164363861084
499,42.651,40.0,2.277574062347412
