Time(s),Reference(C),Temperature(C),Control_Total(%),Base_NMPC(%),Residual_SAC(%)
241.0,40.77585271554666,39.59,3.4091458221593545,8.62735306226403,-5.218207240104675
242.0,40.77585271554666,39.59,3.4164414306798623,8.62735306226403,-5.2109116315841675
243.0,40.77585271554666,39.654,3.2974049945989297,8.62735306226403,-5.3299480676651
244.0,40.77585271554666,39.429,3.313743223778312,8.62735306226403,-5.313609838485718
245.0,40.77585271554666,39.364,6.137027311100432,11.153376865162322,-5.01634955406189
246.0,40.77585271554666,39.461,6.169593798889586,11.153376865162322,-4.983783066272736
247.0,40.77585271554666,39.332,6.354949641003081,11.153376865162322,-4.798427224159241
248.0,40.77585271554666,39.332,6.283304261936614,11.153376865162322,-4.870072603225708
249.0,40.77585271554666,39.268,6.246126162781188,11.153376865162322,-4.907250702381134
250.0,40.77585271554666,39.268,8.80179004565656,13.629533814348576,-4.827743768692017
251.0,40.77585271554666,39.235,8.857658671297429,13.629533814348576,-4.7718751430511475
252.0,40.77585271554666,39.268,8.889872001566289,13.629533814348576,-4.739661812782288
253.0,40.77585271554666,39.106,8.997113870539067,13.629533814348576,-4.632419943809509
254.0,40.77585271554666,39.171,8.966413306154607,13.629533814348576,-4.66312050819397
255.0,40.77585271554666,39.106,11.501816677771014,16.163917052469653,-4.662100374698639
256.0,40.77585271554666,39.042,11.486169564447803,16.163917052469653,-4.677747488021851
257.0,40.77585271554666,38.978,11.514992582521838,16.163917052469653,-4.648924469947815
258.0,40.77585271554666,38.978,11.512594687662524,16.163917052469653,-4.651322364807129
259.0,40.77585271554666,38.978,11.569509374819201,16.163917052469653,-4.594407677650452
260.0,40.77585271554666,38.945,14.120496922721248,18.750406318892818,-4.62990939617157
261.0,40.77585271554666,39.01,14.040044957389217,18.750406318892818,-4.710361361503601
262.0,40.77585271554666,38.945,14.001894110431056,18.750406318892818,-4.7485122084617615
263.0,40.77585271554666,39.01,13.987825924147945,18.750406318892818,-4.762580394744873
264.0,40.77585271554666,38.945,13.968412095298152,18.750406318892818,-4.7819942235946655
265.0,40.77585271554666,38.849,16.50081483278712,21.273884452919567,-4.773069620132446
266.0,40.77585271554666,38.945,16.42231462154826,21.273884452919567,-4.851569831371307
267.0,40.77585271554666,38.849,16.31611344967326,21.273884452919567,-4.957771003246307
268.0,40.77585271554666,38.945,16.30204526339015,21.273884452919567,-4.971839189529419
